tau,R_X_empirica,R_X_teorica
-1.5845281760586862,1.7683154862304309,1.768358969013838
-1.5825275091697233,1.7061349646639425,1.7061828055169774
-1.5805268422807603,1.6372166220523119,1.63726862818462
-1.5785261753917974,1.5618326287815723,1.561888591136976
-1.5765255085028345,1.4802806892070846,1.4803403833033273
-1.5745248416138713,1.392882865967858,1.3929460527964737
-1.5725241747249084,1.2999843081058073,1.3000507350885706
-1.5705235078359454,1.2019518880128195,1.2020212900107636
-1.5685228409469825,1.0991727525885637,1.0992448529597192
-1.5665221740580195,0.9920527943307692,0.992127306032369
-1.5645215071690564,0.8810150483958993,0.8810916751265505
-1.5625208402800934,0.7664980219605054,0.7665764593379509
-1.5605201733911305,0.6489539624809001,0.6490338992505718
-1.5585195065021675,0.5288470716900878,0.5289281909596645
-1.5565188396132046,0.4066516723851913,0.40673365288031604
-1.5545181727242414,0.28285033524504155,0.2829328525812304
-1.5525175058352785,0.15793197307545326,0.1580147010411063
-1.5505168389463155,0.03238991000833912,0.032472521853764605
-1.5485161720573526,-0.09328006672027188,-0.09319789699276963
-1.5465155051683896,-0.2185816647194482,-0.2185002610697064
-1.5445148382794265,-0.3430200463875222,-0.34293972946082496
-1.5425141713904635,-0.46610378311105216,-0.4660248689755639
-1.5405135045015006,-0.5873467960011125,-0.5872695949046743
-1.5385128376125377,-0.7062702755026077,-0.7061950906535182
-1.5365121707235745,-0.822404572295744,-0.8223316986723999
-1.5345115038346115,-0.9352910520221627,-0.935220775216271
-1.5325108369456486,-1.044483906511101,-1.0444165016090052
-1.5305101700566857,-1.1495519143527333,-1.1494876448591125
-1.5285095031677227,-1.2500801438658948,-1.250019260674211
-1.5265088362787596,-1.3456715917348598,-1.345614332148469
-1.5245081693897966,-1.4359487508439273,-1.4358953376516197
-1.5225075025008337,-1.5205551011181575,-1.5205057417279328
-1.5205068356118707,-1.5991565174826785,-1.5991114031169087
-1.5185061687229078,-1.6714425893802785,-1.6714018943354525
-1.5165055018339446,-1.7371278466362923,-1.7370917276102713
-1.5145048349449817,-1.7959528868296213,-1.7959214823188856
-1.5125041680560187,-1.8476853997177085,-1.8476588294869951
-1.5105035011670558,-1.8921210846698349,-1.8920994492961778
-1.5085028342780928,-1.9290844574856365,-1.9290678379785153
-1.5065021673891297,-1.958429543412574,-1.9584180009116137
-1.5045015005001667,-1.9800404536255107,-1.9800340291768732
-1.5025008336112038,-1.9938318428917787,-1.9938305573040527
-1.5005001667222408,-1.99974924661434,-1.9997531003944011
-1.498499499833278,-1.9977692959219906,-1.9977782692910524
-1.4964988329443147,-1.9878998099571878,-1.9879138629468804
-1.4944981660553518,-1.9701797649970387,-1.97019883762508
-1.4924974991663889,-1.9446791405293875,-1.9447031530540704
-1.490496832277426,-1.911498642891883,-1.9115274961443276
-1.488496165388463,-1.870769307565416,-1.8708028833581742
-1.4864954984994998,-1.8226519816925448,-1.8226901433028917
